а;108182
из;43051
да;19879
ца;18364
цу;16794
ма;15868
вай;15770
тӏа;15404
ший;14606
цо;14506
уж;13770
со;12490
хьо;11512
цун;11254
я;11208
са;10839
хӏама;10668
ва;10356
аьнна;10215
аз;9625
саг;9578
ше;9155
цар;8662
ба;8626
хьа;8076
сона;7893
ӏа;7827
нах;7734
аьлар;7715
хьона;7692
хӏаьта;7618
дукха;7564
хана;7548
гӏалгӏай;7172
наха;6992
санна;6984
фу;6957
цунна;6834
иштта;6793
дика;6673
дар;6384
кхы;6218
цхьа;6121
ер;6108
чу;5988
мел;5937
шоай;5820
тӏаккха;5742
ха;5718
е;5518
мара;5503
мо;5462
долаш;5372
укх;5248
юкъе;5052
хилар;5025
деш;5000
чӏоагӏа;4967
хӏанз;4887
шера;4798
шийна;4783
болх;4765
дола;4573
хинна;4500
дац;4399
де;4320
яр;4280
царна;4279
дӏа;4240
дала;4222
яха;4045
хила;4045
хьалха;3952
гӏулакх;3933
йолаш;3900
йоах;3882
сага;3877
яхаш;3831
вар;3795
аьлча;3714
болаш;3692
хоза;3665
деза;3648
дог;3642
мехка;3619
йола;3565
хул;3530
шо;3361
тӏехьа;3334
тхо;3331
шоана;3265
бакъда;3250
яхача;3245
цох;3241
бар;3209
цига;3192
тайпара;3175
цхьан;3142
йиш;3130
тӏехьагӏа;3128
хӏана;3112
шу;3093
вайна;3089
даь;3021
мишта;2918
хилча;2913
цӏи;2894
наьха;2881
яц;2866
юха;2855
ала;2841
безам;2811
ховш;2807
даьла;2766
йолча;2738
тха;2713
беш;2709
волча;2705
уйла;2672
тӏара;2663
ши;2662
автора;2662
цул;2649
къамаьл;2643
вахар;2641
дийнахьа;2639
бола;2632
мотт;2534
ваха;2533
хиннад;2528
тахан;2516
бахьан;2513
дӏахо;2501
оаха;2500
бе;2483
волаш;2479
ди;2452
шоаш;2429
дош;2427
даьра;2419
доацаш;2399
моттиг;2384
хьай;2378
дунен;2366
сай;2363
лаьтта;2361
нана;2349
укхаза;2346
раьза;2320
долча;2312
цӏагӏа;2270
гӏолла;2217
шоашта;2135
болча;2133
цаӏ;2120
цудухьа;2099
цунга;2094
царех;2076
хала;2060
вӏалла;2056
къаман;2054
вац;2053
деша;2052
совгӏа;2051
эггара;2050
поэта;2045
оаш;1974
низ;1945
хӏара;1927
йоӏ;1925
хиннав;1888
хиннача;1888
юрта;1854
лаьца;1852
шун;1840
дувцар;1840
сога;1834
никъ;1831
еш;1797
бераш;1775
хий;1764
бац;1764
жоп;1732
хиннай;1725
зӏамига;1714
дакъа;1705
корта;1696
деррига;1685
дий;1679
йоацаш;1677
ду;1672
латт;1662
бала;1660
доккха;1654
денз;1644
чура;1638
кӏаьнк;1633
кулг;1632
тхона;1627
вола;1614
геттара;1612
аьннад;1609
дале;1600
воӏ;1592
аьттув;1592
цхьаккха;1589
хаьттар;1583
хӏамаш;1578
оал;1576
дукхагӏа;1561
хьал;1561
фуд;1552
хиларах;1552
во;1525
пайда;1517
латтар;1512
яхар;1501
дезаш;1493
коа;1493
луш;1487
цхьабакъда;1487
боацаш;1476
цунца;1448
баь;1445
хиннаб;1438
хов;1430
цкъа;1429
дешаш;1424
стихаш;1423
яь;1411
еза;1395
цӏена;1395
къаьстта;1388
гуш;1375
ӏо;1371
хьога;1370
ираз;1367
веза;1362
бетта;1361
массаза;1359
тӏера;1356
мича;1354
сий;1350
балха;1348
оалаш;1345
духьала;1341
хилда;1337
хургда;1335
керда;1330
йоккха;1325
хеташ;1323
тӏом;1322
эрсий;1319
кхыча;1317
аллахӏа;1317
дега;1314
новкъа;1301
мохк;1296
наьна;1290
дикагӏа;1288
лаьрхӏа;1286
дувцаш;1243
хац;1241
бӏаргаш;1239
дег;1233
хьалхашка;1210
малх;1202
дуне;1200
шоайла;1199
дацар;1197
ераш;1188
денна;1184
метта;1183
вахара;1176
латташ;1171
дӏа-хьа;1161
халкъа;1156
боккха;1153
беза;1144
теха;1136
баха;1136
хьалхара;1133
уйлаш;1130
бер;1126
дувца;1125
йий;1120
гӏерташ;1117
меттала;1117
цхьана;1113
ара;1113
даьд;1113
шин;1111
се;1109
хьажа;1108
саго;1104
латтача;1096
цӏа;1094
хулаш;1083
хьайна;1080
дага;1078
говр;1078
дезал;1076
бехк;1074
тара;1069
дувц;1067
царга;1064
сиха;1062
мах;1062
нагахьа;1053
воацаш;1053
сов;1048
сайна;1043
гаьна;1042
гӏулакха;1037
бакъахьа;1035
хье;1034
моллагӏа;1033
дуккха;1026
юкъера;1023
латта;1013
доагӏа;1000
кхо;998
шерашка;998
хетар;997
бусалба;995
берашта;992
лакха;987
ахча;987
хьежаш;977
аьле;976
нанас;974
кхалсаг;971
бийса;971
хет;970
юхе;968
маӏан;965
наькъа;965
дилла;963
хьаькъал;960
гӏо;958
ваьнна;956
хуле;953
вале;952
сурт;951
бӏарг;950
доал;942
вий;938
дергда;938
воккха;934
гӏулакхаш;933
духьа;932
вешта;927
ийца;926
бокъо;924
къонах;924
керттера;923
даьхе;921
цхьацца;915
гойт;915
атта;903
гӏалгӏайчен;894
даха;892
къам;886
дийна;878
нийса;877
яьккха;874
баркал;873
цӏий;869
царца;868
чам;866
шийга;860
нахага;858
бу;855
цӏаккха;847
вацар;847
даьнна;846
метте;845
кхераш;843
хиннар;842
хьежжа;842
маьрша;840
дас;838
бакъдар;838
яцар;838
